Date and Time,Speed,Angle,Command Message
08/02/2019 17:52:14,10,-17,RUN
08/02/2019 17:52:14,10,-17,RUN
08/02/2019 17:52:14,10,-17,RUN
08/02/2019 17:52:15,10,-17,RUN
08/02/2019 17:52:15,10,-17,RUN
08/02/2019 17:52:15,10,-17,RUN
08/02/2019 17:52:15,10,-17,RUN
08/02/2019 17:52:16,10,-17,RUN
08/02/2019 17:52:16,10,-17,RUN
08/02/2019 17:52:16,10,-17,RUN
08/02/2019 17:52:17,10,-17,RUN
08/02/2019 17:52:17,10,-17,RUN
08/02/2019 17:52:17,10,-17,RUN
08/02/2019 17:52:17,10,-17,RUN
08/02/2019 17:52:18,10,-17,RUN
08/02/2019 17:52:18,10,-17,RUN
08/02/2019 17:52:18,10,-17,RUN
08/02/2019 17:52:19,10,-17,RUN
08/02/2019 17:52:19,10,-17,RUN
08/02/2019 17:52:19,10,-17,RUN
08/02/2019 17:52:20,10,-17,RUN
08/02/2019 17:52:20,10,-17,RUN
08/02/2019 17:52:20,10,-17,RUN
08/02/2019 17:52:20,10,-17,RUN
08/02/2019 17:52:21,10,-17,RUN
08/02/2019 17:52:21,10,-17,RUN
08/02/2019 17:52:21,10,-17,RUN
08/02/2019 17:52:22,10,-17,RUN
08/02/2019 17:52:22,10,-17,RUN
08/02/2019 17:52:22,10,-17,RUN
08/02/2019 17:52:22,-1,-4,RUN
08/02/2019 17:52:25,-1,-1,RUN
08/02/2019 17:52:25,-1,0,RUN
08/02/2019 17:52:26,-3,0,RUN
08/02/2019 17:52:26,-9,0,RUN
08/02/2019 17:52:27,-16,0,RUN
08/02/2019 17:52:27,-24,0,RUN
08/02/2019 17:52:27,-25,0,RUN
08/02/2019 17:52:30,-25,-1,RUN
08/02/2019 17:52:31,-3,0,RUN
08/02/2019 17:52:31,-2,0,RUN
08/02/2019 17:52:31,-2,-1,RUN
08/02/2019 17:52:32,0,-1,RUN
08/02/2019 17:52:32,10,-12,RUN
08/02/2019 17:52:32,10,-12,RUN
08/02/2019 17:52:32,10,-12,RUN
08/02/2019 17:52:33,10,-12,RUN
08/02/2019 17:52:33,10,-12,RUN
08/02/2019 17:52:33,10,-12,RUN
08/02/2019 17:52:34,10,-12,RUN
08/02/2019 17:52:34,10,-20,RUN
08/02/2019 17:52:34,10,-24,RUN
08/02/2019 17:52:35,10,-24,RUN
08/02/2019 17:52:35,10,-17,RUN
08/02/2019 17:52:35,10,-11,RUN
08/02/2019 17:52:35,10,-11,RUN
08/02/2019 17:52:36,10,-3,RUN
08/02/2019 17:52:36,10,14,RUN
08/02/2019 17:52:36,10,14,RUN
08/02/2019 17:52:37,10,19,RUN
08/02/2019 17:52:37,10,19,RUN
08/02/2019 17:52:37,10,19,RUN
08/02/2019 17:52:37,10,19,RUN
08/02/2019 17:52:38,10,22,RUN
08/02/2019 17:52:38,10,22,RUN
08/02/2019 17:52:38,10,22,RUN
